model,method,context,tier,jobs,successful_jobs,failed_jobs,question_trajectories,scoreable_trajectories,repetitions,score_coverage,f1_mean,f1_std,calls_mean,calls_std,cost_usd_mean,cost_usd_std,total_tokens_mean,total_tokens_std,latency_seconds_mean,latency_seconds_std,tool_time_seconds_mean,tool_time_seconds_std,process_wall_time_seconds_mean,process_wall_time_seconds_std,peak_combined_memory_mib_mean,peak_combined_memory_mib_std
deepseek-v4-flash,codeact,1000,2,20,14,6,100,100,1,1.0,0.6434036796536796,0.0,3.8472222222222223,0.0,0.01017799628472222,0.0,393029.52777777775,0.0,68.10578299273038,0.0,0.34313518239650875,0.0,69.59939212580987,0.0,751.6364397321429,0.0
deepseek-v4-flash,rlm,100,2,20,20,0,100,100,5,1.0,0.8722222222222221,0.08868031084104408,7.220000000000001,1.2675172582651488,0.00041537159256,0.00083074318512,88857.05,33223.77410710589,83.02695791307836,16.492943793769037,0.0744087952747941,0.014161159643753052,83.8855762797594,16.49408337510655,403.36328125,2.252156813343522
deepseek-v4-flash,rlm,500,2,20,20,0,100,100,5,1.0,0.8800196772924046,0.024510990197858767,7.1,0.9586448768965491,0.0,0.0,72249.3,10099.316402509627,82.1171927214414,10.036184344323061,0.7808094054087997,1.1119735308709076,82.98105515874923,10.047852921822027,403.2861328125,0.8139110343735364
deepseek-v4-flash,rlm,1000,2,20,20,0,100,100,5,1.0,0.6937222222222222,0.12081610349699883,16.19,1.8736061485808593,0.01495152428314,0.0024301270325870154,224744.37000000002,67782.87197019317,387.12531335326844,47.757813508463656,10.449766927380114,19.476743351283083,390.1114182854816,47.38879955215788,412.654296875,6.119577428652524
deepseek-v4-flash,rlm,full,2,20,20,0,100,100,5,1.0,0.8428947533919731,0.06800090026833862,7.279999999999999,1.0637668917577763,0.0,0.0,112404.59,9072.431761958864,116.53906095460056,10.421897606493806,30.470015953741967,2.8291846801060734,117.60753439590334,10.13081920942877,1814.8369140625,1071.3015230073468
deepseek-v4-flash,llm,100,3,80,80,0,175,95,5,0.5428571428571428,0.33473891989655247,0.03287916565646837,1.0,0.0,0.0,0.0,10101.457142857143,13.532099404221027,12.941482248625585,0.5931367557980312,0.0,0.0,14.78950047160898,0.5673900479285723,321.876513671875,0.1741039633547932
deepseek-v4-flash,llm,500,3,80,80,0,175,95,5,0.5428571428571428,0.13189235608017688,0.005513242062418958,1.0,0.0,0.0,0.0,49607.33142857143,116.94796135592098,20.14749507561326,1.0847711212763638,0.0,0.0,21.955387083292006,1.0675923804128151,322.367041015625,0.21892119112289804
deepseek-v4-flash,codeact,100,3,80,78,2,175,100,5,0.5714285714285714,0.8050802259316191,0.13985837780557786,5.707912087912088,0.3330075774103765,0.0020988330641903297,0.0011506864136548614,171782.0287912088,34110.77950633138,235.19364887217694,52.804109837803864,0.2531602741626429,0.07524591716042942,238.45542170107325,52.31585965095502,637.7864048549106,6.567582140224904
deepseek-v4-flash,codeact,500,3,80,72,8,175,124,5,0.7085714285714285,0.5684295944203817,0.05806041698284624,5.692307692307692,0.3361967740392888,0.0038916715581107687,0.0028524642539982437,426158.84923076926,42610.80998861732,292.62627387646967,48.37283853695944,0.8104058229665343,0.3178947585581858,300.00382037083403,53.034905216854455,632.6888467261904,5.766377896649795
deepseek-v4-flash,codeact,1000,3,80,45,35,175,157,1,0.8971428571428571,0.16768759372231296,0.0,6.676056338028169,0.0,0.02243338966918311,0.0,751548.2816901408,0.0,414.021325589561,0.0,0.8745983559277538,0.0,417.739020419107,0.0,598.9359375,0.0
