model,method,context,tier,successful_jobs,successful_trajectories,failed_jobs,calls_per_trajectory,calls_per_trajectory_coverage,tokens_per_trajectory,tokens_per_trajectory_coverage,latency_seconds_per_trajectory,latency_seconds_per_trajectory_coverage,tool_time_seconds_per_trajectory,tool_time_seconds_per_trajectory_coverage,wall_time_seconds_per_trajectory,wall_time_seconds_per_trajectory_coverage,peak_memory_mib_per_job,peak_memory_mib_per_job_coverage
claude-haiku-4.5,rlm,500,2,20,100,0,2.87,1.0,33447.1,1.0,29.13114851057064,1.0,1.9444606387056411,1.0,30.314388938480988,1.0,372.791796875,1.0
claude-haiku-4.5,rlm,full,2,20,100,0,4.05,1.0,99441.88,1.0,68.52735517181456,1.0,20.46838083425071,1.0,69.85304549863562,1.0,641.919921875,1.0
claude-haiku-4.5,llm,100,3,80,175,0,1.0,1.0,15872.828571428572,1.0,14.669698660980378,1.0,0.0,1.0,17.327041244560053,1.0,300.808447265625,1.0
claude-haiku-4.5,llm,500,3,80,175,0,1.0,1.0,65986.35428571429,1.0,8.552695985106485,1.0,0.0,1.0,11.036698273931231,1.0,301.72509765625,1.0
claude-haiku-4.5,codeact,100,3,80,175,0,1.8342857142857143,1.0,42352.53142857143,1.0,29.25553575571094,1.0,0.0605376562582595,1.0,31.80550711069788,1.0,576.12568359375,1.0
claude-haiku-4.5,codeact,500,3,80,175,0,2.6228571428571428,1.0,204768.53142857144,1.0,46.24414781989796,1.0,0.35954570648925643,1.0,48.75859161946391,1.0,581.85595703125,1.0
claude-haiku-4.5,rlm,100,3,80,175,0,3.005714285714286,1.0,53372.54857142857,1.0,45.02647442816092,1.0,2.158938450863851,1.0,48.430287592727694,1.0,339.794775390625,1.0
claude-haiku-4.5,rlm,500,3,80,175,0,6.868571428571428,1.0,88498.55428571429,1.0,59.78918264029016,1.0,3.5363454376294143,1.0,62.78609533031338,1.0,341.96005859375,1.0
claude-haiku-4.5,rlm,full,3,80,175,0,4.514285714285714,1.0,109675.26857142858,1.0,98.80606356248259,1.0,33.68019648268021,1.0,102.75274716079235,1.0,510.169091796875,1.0
claude-haiku-4.5,llm,100,4,45,175,0,1.0,1.0,14685.782857142856,1.0,8.597129150586468,1.0,0.0,1.0,11.129159560065185,1.0,331.25269097222224,1.0
claude-haiku-4.5,llm,500,4,45,175,0,1.0,1.0,65220.137142857144,1.0,5.230851630866527,1.0,0.0,1.0,7.788371809029154,1.0,331.0509548611111,1.0
claude-haiku-4.5,codeact,100,4,45,175,0,2.2114285714285713,1.0,69744.61142857143,1.0,42.62385144118752,1.0,0.5632707133782762,1.0,45.21021129534713,1.0,689.0893229166667,1.0
claude-haiku-4.5,codeact,500,4,45,175,0,3.2285714285714286,1.0,259282.74857142856,1.0,45.891450486757925,1.0,5.883047036443438,1.0,48.416039743774704,1.0,687.6184895833334,1.0
claude-haiku-4.5,rlm,100,4,45,175,0,5.548571428571429,1.0,140189.2742857143,1.0,93.52934639737276,1.0,3.6165852954930493,1.0,97.48335794804352,1.0,385.8035590277778,1.0
claude-haiku-4.5,rlm,500,4,45,175,0,7.051428571428572,1.0,176453.29714285713,1.0,120.36231663159494,1.0,11.812594817757075,1.0,124.21017639315022,1.0,390.4516493055556,1.0
claude-haiku-4.5,rlm,full,4,45,175,0,8.17142857142857,1.0,216658.0342857143,1.0,625.8125640770926,1.0,438.54189765609004,1.0,630.0526813833815,1.0,4327.654513888889,1.0
