model,model_label,method,context,tier,successful_jobs,failed_jobs,unresolved_jobs,arm_final,cost_chf_per_trajectory,cost_chf_per_trajectory_coverage,tokens_per_trajectory,tokens_per_trajectory_coverage,wall_time_seconds_per_trajectory,wall_time_seconds_per_trajectory_coverage
gemini-3.7-flash,Gemini 3.7 Flash,rlm,full,3,80,0,0,True,0.07821820285714286,1.0,202663.4457142857,1.0,135.185320370867,1.0
gemini-3.7-flash,Gemini 3.7 Flash,llm,100,4,45,0,0,True,0.012291986742857142,1.0,14149.668571428572,1.0,10.314464783295989,1.0
gemini-3.7-flash,Gemini 3.7 Flash,llm,500,4,45,0,0,True,0.027538870628571428,1.0,59943.55428571429,1.0,16.145678486855967,1.0
gemini-3.7-flash,Gemini 3.7 Flash,codeact,100,4,45,0,0,True,0.016433914628571435,1.0,23767.114285714284,1.0,53.80980322536613,1.0
gemini-3.7-flash,Gemini 3.7 Flash,codeact,500,4,45,0,0,True,0.04758115542857143,1.0,137945.6857142857,1.0,58.06486753857561,1.0
gemini-3.7-flash,Gemini 3.7 Flash,codeact,1000,4,45,0,0,True,0.07659709028571428,1.0,254747.22285714286,1.0,62.972807767319026,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,100,4,45,0,0,True,0.023750965028571432,1.0,45350.817142857144,1.0,37.7143946618161,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,500,4,45,0,0,True,0.027909914400000003,1.0,60934.565714285716,1.0,42.338691379611184,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,1000,4,41,4,0,True,0.03402783428571428,1.0,80789.59627329193,1.0,44.666262869315325,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,full,4,42,3,0,True,0.11358695917241379,1.0,388222.43448275863,1.0,415.05689060014134,1.0
gpt-5-mini,GPT-5 mini,llm,100,1,5,0,0,True,0.0020259494400000004,1.0,10989.62,1.0,5.649637116156518,1.0
gpt-5-mini,GPT-5 mini,llm,500,1,5,0,0,True,0.0070336987199999985,1.0,52168.36,1.0,6.220783418640495,1.0
gpt-5-mini,GPT-5 mini,codeact,100,1,5,0,0,True,0.0028642924800000003,1.0,22041.04,1.0,16.936737816892563,1.0
gpt-5-mini,GPT-5 mini,codeact,500,1,5,0,0,True,0.00952262048,1.0,106607.68,1.0,13.492795418053866,1.0
gpt-5-mini,GPT-5 mini,codeact,1000,1,5,0,0,True,0.015956260000000003,1.0,222682.14,1.0,9.303414517901837,1.0
gpt-5-mini,GPT-5 mini,rlm,100,1,5,0,0,True,0.0027890976,1.0,11666.8,1.0,34.50662327673286,1.0
gpt-5-mini,GPT-5 mini,rlm,500,1,5,0,0,True,0.00286873408,1.0,10687.46,1.0,32.47597415551543,1.0
gpt-5-mini,GPT-5 mini,rlm,1000,1,5,0,0,True,0.001518044,1.0,8549.7,1.0,13.0986377450265,1.0
gpt-5-mini,GPT-5 mini,rlm,full,1,5,0,0,True,0.00301656048,1.0,10135.78,1.0,38.50002001207322,1.0
gpt-5-mini,GPT-5 mini,llm,100,2,20,0,0,True,0.00427017408,1.0,12555.96,1.0,13.395974223259836,1.0
gpt-5-mini,GPT-5 mini,llm,500,2,20,0,0,True,0.00552448208,1.0,52158.57,1.0,7.501687734313309,1.0
gpt-5-mini,GPT-5 mini,codeact,100,2,20,0,0,True,0.0036498631199999992,1.0,23663.05,1.0,18.129238482564688,1.0
gpt-5-mini,GPT-5 mini,codeact,500,2,20,0,0,True,0.01111251832,1.0,106462.1,1.0,17.459511706326158,1.0
gpt-5-mini,GPT-5 mini,codeact,1000,2,20,0,0,True,0.0228893124,1.0,209831.73,1.0,25.276453446066007,1.0
gpt-5-mini,GPT-5 mini,rlm,100,2,20,0,0,True,0.00250479912,1.0,13085.5,1.0,17.287488440684974,1.0
gpt-5-mini,GPT-5 mini,rlm,500,2,20,0,0,True,0.00241290712,1.0,11810.18,1.0,17.178445125501604,1.0
gpt-5-mini,GPT-5 mini,rlm,1000,2,20,0,0,True,0.0025039852000000003,1.0,11415.16,1.0,23.446678299233316,1.0
gpt-5-mini,GPT-5 mini,rlm,full,2,20,0,0,True,0.004409178799999999,1.0,20977.29,1.0,47.208270519394425,1.0
gpt-5-mini,GPT-5 mini,llm,100,3,80,0,0,True,0.010738272777142857,1.0,16453.897142857142,1.0,42.1873740484459,1.0
gpt-5-mini,GPT-5 mini,llm,500,3,80,0,0,True,0.012842065142857143,1.0,55607.35428571429,1.0,32.88836646651583,1.0
gpt-5-mini,GPT-5 mini,codeact,100,3,80,0,0,True,0.006910079680000001,1.0,28947.977142857144,1.0,25.86464078068733,1.0
gpt-5-mini,GPT-5 mini,codeact,500,3,80,0,0,True,0.013842376182857137,1.0,117291.97142857143,1.0,28.84094433129898,1.0
gpt-5-mini,GPT-5 mini,codeact,1000,3,48,32,0,True,0.018483052142857146,1.0,216789.35714285713,1.0,76.51441061179503,1.0
gpt-5-mini,GPT-5 mini,rlm,100,3,80,0,0,True,0.005911036662857145,1.0,26849.897142857142,1.0,37.626863650530574,1.0
gpt-5-mini,GPT-5 mini,rlm,500,3,80,0,0,True,0.006539357714285714,1.0,27781.96,1.0,39.741370155768735,1.0
gpt-5-mini,GPT-5 mini,rlm,1000,3,80,0,0,True,0.006365253942857144,1.0,25169.051428571427,1.0,46.06202762137034,1.0
gpt-5-mini,GPT-5 mini,rlm,full,3,80,0,0,True,0.051520489828571395,1.0,251180.85714285713,1.0,97.6332178377573,1.0
gpt-5-mini,GPT-5 mini,llm,100,4,45,0,0,True,0.006887045302857144,1.0,14171.44,1.0,19.614815246665053,1.0
gpt-5-mini,GPT-5 mini,llm,500,4,45,0,0,True,0.007249854034285715,1.0,52691.60571428572,1.0,12.646392236224242,1.0
gpt-5-mini,GPT-5 mini,codeact,100,4,45,0,0,True,0.010191369462857144,1.0,36476.31428571429,1.0,33.27908984187458,1.0
gpt-5-mini,GPT-5 mini,codeact,500,4,45,0,0,True,0.01911610285714286,1.0,149166.46285714285,1.0,41.78778258239584,1.0
gpt-5-mini,GPT-5 mini,codeact,1000,4,16,29,0,True,0.017978149677419356,1.0,229019.5806451613,1.0,66.26110702843195,1.0
gpt-5-mini,GPT-5 mini,rlm,100,4,45,0,0,True,0.009470692434285716,1.0,57132.22285714286,1.0,55.70047376800861,1.0
gpt-5-mini,GPT-5 mini,rlm,500,4,45,0,0,True,0.009312355337142858,1.0,46038.102857142854,1.0,55.9466173326437,1.0
gpt-5-mini,GPT-5 mini,rlm,1000,4,45,0,0,True,0.008975261714285717,1.0,42218.88,1.0,55.89788814817156,1.0
gpt-5-mini,GPT-5 mini,rlm,full,4,45,0,0,True,0.017417143771428573,1.0,115853.77714285714,1.0,333.0887150742007,1.0
claude-haiku-4.5,Claude Haiku 4.5,llm,100,1,5,0,0,True,0.0104484,1.0,12960.34,1.0,2.1807461700215938,1.0
claude-haiku-4.5,Claude Haiku 4.5,llm,500,1,5,0,0,True,0.05202736000000001,1.0,64345.72,1.0,1.9761767862737178,1.0
claude-haiku-4.5,Claude Haiku 4.5,codeact,100,1,5,0,0,True,0.0086869,1.0,22606.52,1.0,8.227198069989681,1.0
claude-haiku-4.5,Claude Haiku 4.5,codeact,500,1,5,0,0,True,0.028466355999999998,1.0,144096.52,1.0,8.339193197637796,1.0
claude-haiku-4.5,Claude Haiku 4.5,rlm,100,1,5,0,0,True,0.030810511999999998,1.0,30791.14,1.0,15.366549449777231,1.0
claude-haiku-4.5,Claude Haiku 4.5,rlm,500,1,5,0,0,True,0.043036080000000004,1.0,42689.9,1.0,20.441153387967496,1.0
claude-haiku-4.5,Claude Haiku 4.5,rlm,full,1,5,0,0,True,0.034024032,1.0,31910.04,1.0,19.43413586458191,1.0
claude-haiku-4.5,Claude Haiku 4.5,llm,100,2,20,0,0,True,0.03477879999999999,1.0,19202.9,1.0,24.375630912650376,1.0
claude-haiku-4.5,Claude Haiku 4.5,llm,500,2,20,0,0,True,0.06281516,1.0,67586.75,1.0,16.807768313344567,1.0
claude-haiku-4.5,Claude Haiku 4.5,codeact,100,2,20,0,0,True,0.0218829532,1.0,21277.73,1.0,13.941822230294347,1.0
claude-haiku-4.5,Claude Haiku 4.5,codeact,500,2,20,0,0,True,0.06505124960000001,1.0,145659.95,1.0,27.214112289119512,1.0
claude-haiku-4.5,Claude Haiku 4.5,rlm,100,2,20,0,0,True,0.05039351919999999,1.0,39517.94,1.0,27.30536889981944,1.0
claude-haiku-4.5,Claude Haiku 4.5,rlm,500,2,20,0,0,True,0.04626361999999999,1.0,33447.1,1.0,30.314388938480988,1.0
claude-haiku-4.5,Claude Haiku 4.5,rlm,full,2,20,0,0,True,0.11921957999999998,1.0,99441.88,1.0,69.85304549863562,1.0
claude-haiku-4.5,Claude Haiku 4.5,llm,100,3,80,0,0,True,0.021394674285714288,1.0,15872.828571428572,1.0,17.327041244560053,1.0
claude-haiku-4.5,Claude Haiku 4.5,llm,500,3,80,0,0,True,0.05781604571428572,1.0,65986.35428571429,1.0,11.036698273931231,1.0
claude-haiku-4.5,Claude Haiku 4.5,codeact,100,3,80,0,0,True,0.04297097965714286,1.0,42352.53142857143,1.0,31.80550711069788,1.0
claude-haiku-4.5,Claude Haiku 4.5,codeact,500,3,80,0,0,True,0.08829279908571429,1.0,204768.53142857144,1.0,48.75859161946391,1.0
claude-haiku-4.5,Claude Haiku 4.5,rlm,100,3,80,0,0,True,0.07412372228571426,1.0,53372.54857142857,1.0,48.430287592727694,1.0
claude-haiku-4.5,Claude Haiku 4.5,rlm,500,3,80,0,0,True,0.11851571428571424,1.0,88498.55428571429,1.0,62.78609533031338,1.0
claude-haiku-4.5,Claude Haiku 4.5,rlm,full,3,80,0,0,True,0.14025722697142864,1.0,109675.26857142858,1.0,102.75274716079235,1.0
claude-haiku-4.5,Claude Haiku 4.5,llm,100,4,45,0,0,True,0.016533485714285718,1.0,14685.782857142856,1.0,11.129159560065185,1.0
claude-haiku-4.5,Claude Haiku 4.5,llm,500,4,45,0,0,True,0.05512969142857143,1.0,65220.137142857144,1.0,7.788371809029154,1.0
claude-haiku-4.5,Claude Haiku 4.5,codeact,100,4,45,0,0,True,0.0730234582857143,1.0,69744.61142857143,1.0,45.21021129534713,1.0
claude-haiku-4.5,Claude Haiku 4.5,codeact,500,4,45,0,0,True,0.11478435177142861,1.0,259282.74857142856,1.0,48.416039743774704,1.0
claude-haiku-4.5,Claude Haiku 4.5,rlm,100,4,45,0,0,True,0.17711657714285717,1.0,140189.2742857143,1.0,97.48335794804352,1.0
claude-haiku-4.5,Claude Haiku 4.5,rlm,500,4,45,0,0,True,0.2216716274285714,1.0,176453.29714285713,1.0,124.21017639315022,1.0
