model,model_label,method,context,tier,expected_jobs,succeeded_jobs,running_jobs,stale_jobs,failed_jobs,pending_jobs,expected_trajectories,successful_trajectories,coverage,successful_repetitions,f1,f1_std,f1_zero_imputed,f1_best_case,arm_final
glm-5.2,GLM 5.2,rlm,full,4,45,15,0,0,4,26,175,36,0.2057142857142857,5,0.8843105919831706,0.07588921698702146,0.1819153217793951,0.9762010360651093,False
gemini-3.7-flash,Gemini 3.7 Flash,llm,100,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
gemini-3.7-flash,Gemini 3.7 Flash,llm,500,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
gemini-3.7-flash,Gemini 3.7 Flash,codeact,100,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
gemini-3.7-flash,Gemini 3.7 Flash,codeact,500,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
gemini-3.7-flash,Gemini 3.7 Flash,rlm,100,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
gemini-3.7-flash,Gemini 3.7 Flash,rlm,500,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
gemini-3.7-flash,Gemini 3.7 Flash,rlm,full,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
gemini-3.7-flash,Gemini 3.7 Flash,llm,100,2,20,20,0,0,0,0,100,100,1.0,5,0.9600428415066418,0.02229592378820576,0.9600428415066418,0.9600428415066418,True
gemini-3.7-flash,Gemini 3.7 Flash,llm,500,2,20,20,0,0,0,0,100,100,1.0,5,0.6352514771038611,0.041020011016203,0.6352514771038611,0.6352514771038611,True
gemini-3.7-flash,Gemini 3.7 Flash,codeact,100,2,20,20,0,0,0,0,100,100,1.0,5,0.7765003964492457,0.06613169505188751,0.7765003964492457,0.7765003964492456,True
gemini-3.7-flash,Gemini 3.7 Flash,codeact,500,2,20,20,0,0,0,0,100,100,1.0,5,0.7548197632835807,0.04746685731646392,0.7548197632835807,0.7548197632835809,True
gemini-3.7-flash,Gemini 3.7 Flash,rlm,100,2,20,20,0,0,0,0,100,100,1.0,5,1.0,0.0,1.0,1.0,True
gemini-3.7-flash,Gemini 3.7 Flash,rlm,500,2,20,20,0,0,0,0,100,100,1.0,5,1.0,0.0,1.0,1.0,True
gemini-3.7-flash,Gemini 3.7 Flash,rlm,full,2,20,20,0,0,0,0,100,100,1.0,5,1.0,0.0,1.0,1.0,True
gemini-3.7-flash,Gemini 3.7 Flash,llm,100,3,80,80,0,0,0,0,175,175,1.0,5,0.8550193306303837,0.003944915418358257,0.8550193306303837,0.8550193306303838,True
gemini-3.7-flash,Gemini 3.7 Flash,llm,500,3,80,80,0,0,0,0,175,175,1.0,5,0.8152894358195356,0.009816004860901355,0.8152894358195356,0.8152894358195356,True
gemini-3.7-flash,Gemini 3.7 Flash,codeact,100,3,80,80,0,0,0,0,175,175,1.0,5,0.8260168240456356,0.04812903513525986,0.8260168240456356,0.8260168240456356,True
gemini-3.7-flash,Gemini 3.7 Flash,codeact,500,3,80,80,0,0,0,0,175,175,1.0,5,0.8078149440329324,0.01570468528082885,0.8078149440329324,0.8078149440329324,True
gemini-3.7-flash,Gemini 3.7 Flash,rlm,100,3,80,80,0,0,0,0,175,175,1.0,5,0.8849814807363343,0.004560272548937315,0.8849814807363343,0.8849814807363343,True
gemini-3.7-flash,Gemini 3.7 Flash,rlm,500,3,80,80,0,0,0,0,175,175,1.0,5,0.8681339482798994,0.014893209722519597,0.8681339482798994,0.8681339482798993,True
gemini-3.7-flash,Gemini 3.7 Flash,rlm,full,3,80,80,0,0,0,0,175,175,1.0,5,0.7992568423023704,0.010768170834684232,0.7992568423023704,0.7992568423023704,True
gemini-3.7-flash,Gemini 3.7 Flash,llm,100,4,45,45,0,0,0,0,175,175,1.0,5,0.849047619047619,0.011428571428571465,0.849047619047619,0.8490476190476193,True
gemini-3.7-flash,Gemini 3.7 Flash,llm,500,4,45,45,0,0,0,0,175,175,1.0,5,0.8063809523809524,0.010264528445948554,0.8063809523809524,0.8063809523809524,True
gemini-3.7-flash,Gemini 3.7 Flash,codeact,100,4,45,45,0,0,0,0,175,175,1.0,5,0.7404906204906204,0.04045653155946337,0.7404906204906204,0.7404906204906203,True
gemini-3.7-flash,Gemini 3.7 Flash,codeact,500,4,45,45,0,0,0,0,175,175,1.0,5,0.746054834054834,0.038385895339790504,0.746054834054834,0.7460548340548342,True
gemini-3.7-flash,Gemini 3.7 Flash,rlm,100,4,45,45,0,0,0,0,175,175,1.0,5,0.8370476190476189,0.02497781328424457,0.8370476190476189,0.8370476190476192,True
gemini-3.7-flash,Gemini 3.7 Flash,rlm,500,4,45,45,0,0,0,0,175,175,1.0,5,0.8471428571428574,0.02033729190863107,0.8471428571428574,0.8471428571428574,True
gemini-3.7-flash,Gemini 3.7 Flash,rlm,full,4,45,37,0,0,8,0,175,115,0.6571428571428571,5,0.696620569248692,0.12231740651733584,0.45777923122056907,0.8006363740777119,True
gpt-5-mini,GPT-5 mini,llm,100,1,5,5,0,0,0,0,50,50,1.0,5,0.9666666666666669,0.0,0.9666666666666669,0.9666666666666669,True
gpt-5-mini,GPT-5 mini,llm,500,1,5,5,0,0,0,0,50,50,1.0,5,0.6826666666666666,0.06255308856394613,0.6826666666666666,0.6826666666666665,True
gpt-5-mini,GPT-5 mini,codeact,100,1,5,5,0,0,0,0,50,50,1.0,5,0.9893333333333334,0.021333333333333336,0.9893333333333334,0.9893333333333334,True
gpt-5-mini,GPT-5 mini,codeact,500,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
gpt-5-mini,GPT-5 mini,rlm,100,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
gpt-5-mini,GPT-5 mini,rlm,500,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
gpt-5-mini,GPT-5 mini,rlm,full,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
gpt-5-mini,GPT-5 mini,llm,100,2,20,20,0,0,0,0,100,100,1.0,5,0.031978153568710845,0.03189340039181726,0.031978153568710845,0.03197815356871089,True
gpt-5-mini,GPT-5 mini,llm,500,2,20,20,0,0,0,0,100,100,1.0,5,0.0012155388471177945,0.001844958831857618,0.0012155388471177945,0.0012155388471177275,True
gpt-5-mini,GPT-5 mini,codeact,100,2,20,20,0,0,0,0,100,100,1.0,5,0.99,0.020000000000000018,0.99,0.99,True
gpt-5-mini,GPT-5 mini,codeact,500,2,20,20,0,0,0,0,100,100,1.0,5,0.99,0.020000000000000018,0.99,0.99,True
gpt-5-mini,GPT-5 mini,rlm,100,2,20,20,0,0,0,0,100,100,1.0,5,1.0,0.0,1.0,1.0,True
gpt-5-mini,GPT-5 mini,rlm,500,2,20,20,0,0,0,0,100,100,1.0,5,0.993921568627451,0.012156862745098085,0.993921568627451,0.9939215686274508,True
gpt-5-mini,GPT-5 mini,rlm,full,2,20,20,0,0,0,0,100,100,1.0,5,1.0,0.0,1.0,1.0,True
gpt-5-mini,GPT-5 mini,llm,100,3,80,80,0,0,0,0,175,175,1.0,5,0.6973055777456225,0.0274030709046133,0.6973055777456225,0.6973055777456225,True
gpt-5-mini,GPT-5 mini,llm,500,3,80,80,0,0,0,0,175,175,1.0,5,0.31394130387059044,0.013776582439373984,0.31394130387059044,0.3139413038705904,True
gpt-5-mini,GPT-5 mini,codeact,100,3,80,80,0,0,0,0,175,175,1.0,5,0.7792543452755285,0.026075791315460013,0.7792543452755285,0.7792543452755285,True
gpt-5-mini,GPT-5 mini,codeact,500,3,80,80,0,0,0,0,175,175,1.0,5,0.7019607398153872,0.057730418244223,0.7019607398153872,0.7019607398153871,True
gpt-5-mini,GPT-5 mini,rlm,100,3,80,80,0,0,0,0,175,175,1.0,5,0.7293489634022333,0.02114902380835245,0.7293489634022333,0.7293489634022333,True
gpt-5-mini,GPT-5 mini,rlm,500,3,80,80,0,0,0,0,175,175,1.0,5,0.6517322650020401,0.038460919000996616,0.6517322650020401,0.6517322650020401,True
