scope,run_id,model,model_label,method,tier,task,context,repetition,question_count,status,report_state,result_updated_at,attempt_count,sources,failure_categories,score_name,score_available,f1,calls,cost_chf,cost_usd,input_tokens,output_tokens,total_tokens,latency_seconds,tool_time_seconds,peak_combined_memory_mib,peak_docker_memory_mib,peak_host_process_tree_rss_mib,process_wall_time_seconds,ground_truth_version,original_f1,score_correction_status,arm_final
full_benchmark,full-glm-5.2-tier2-task2-codeact-x100-r05,glm-5.2,GLM 5.2,codeact,2,tier2/task2,100,5,6,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier2-task2-codeact-x500-r01,glm-5.2,GLM 5.2,codeact,2,tier2/task2,500,1,6,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier2-task2-codeact-x500-r02,glm-5.2,GLM 5.2,codeact,2,tier2/task2,500,2,6,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier2-task2-codeact-x500-r03,glm-5.2,GLM 5.2,codeact,2,tier2/task2,500,3,6,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier2-task2-codeact-x500-r04,glm-5.2,GLM 5.2,codeact,2,tier2/task2,500,4,6,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier2-task2-codeact-x500-r05,glm-5.2,GLM 5.2,codeact,2,tier2/task2,500,5,6,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier2-task2-llm-x100-r01,glm-5.2,GLM 5.2,llm,2,tier2/task2,100,1,6,succeeded,final,2026-09-13T13:56:30.865062+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.08456876456876457,6,0.0,0.0,63443,1331,64774,40.8845017850399,0,325.828125,0.0,325.828125,44.43881097063422,rxnhaystack-human-1.6.0,0.08456876456876457,not_affected,True
full_benchmark,full-glm-5.2-tier2-task2-llm-x100-r02,glm-5.2,GLM 5.2,llm,2,tier2/task2,100,2,6,succeeded,final,2026-09-13T13:57:05.787151+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.15420216487632218,6,0.0,0.0,63443,941,64384,31.037126645445824,0,327.3359375,0.0,327.3359375,34.82556787133217,rxnhaystack-human-1.6.0,0.15420216487632218,not_affected,True
full_benchmark,full-glm-5.2-tier2-task2-llm-x100-r03,glm-5.2,GLM 5.2,llm,2,tier2/task2,100,3,6,succeeded,final,2026-09-13T13:57:55.639068+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.0770699845081649,6,0.0,0.0,63443,1958,65401,46.02574471384287,0,326.67578125,0.0,326.67578125,49.75458377599716,rxnhaystack-human-1.6.0,0.0770699845081649,not_affected,True
full_benchmark,full-glm-5.2-tier2-task2-llm-x100-r04,glm-5.2,GLM 5.2,llm,2,tier2/task2,100,4,6,succeeded,final,2026-09-13T13:58:40.758429+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.13581158802693458,6,0.0,0.0,63443,1610,65053,41.40194283798337,0,328.453125,0.0,328.453125,45.0267671123147,rxnhaystack-human-1.6.0,0.13581158802693458,not_affected,True
full_benchmark,full-glm-5.2-tier2-task2-llm-x100-r05,glm-5.2,GLM 5.2,llm,2,tier2/task2,100,5,6,succeeded,final,2026-09-13T13:59:24.854167+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.13745250549374263,6,0.0,0.0,63443,1745,65188,40.14382743090391,0,327.3359375,0.0,327.3359375,43.98554215952754,rxnhaystack-human-1.6.0,0.13745250549374263,not_affected,True
full_benchmark,full-glm-5.2-tier2-task2-llm-x500-r01,glm-5.2,GLM 5.2,llm,2,tier2/task2,500,1,6,succeeded,final,2026-09-13T13:48:14.781859+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.029618768328445746,6,0.0,0.0,309982,12461,322443,287.00025460124016,0,328.91015625,0.0,328.91015625,290.72462714090943,rxnhaystack-human-1.6.0,0.029618768328445746,not_affected,True
full_benchmark,full-glm-5.2-tier2-task2-llm-x500-r02,glm-5.2,GLM 5.2,llm,2,tier2/task2,500,2,6,succeeded,final,2026-09-13T14:02:35.583495+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.03870967741935485,6,0.0,0.0,309982,8505,318487,186.97426983714104,0,328.421875,0.0,328.421875,190.59114402160048,rxnhaystack-human-1.6.0,0.03870967741935485,not_affected,True
full_benchmark,full-glm-5.2-tier2-task2-llm-x500-r03,glm-5.2,GLM 5.2,llm,2,tier2/task2,500,3,6,succeeded,final,2026-09-13T14:10:10.413935+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.04562033710969881,6,0.0,0.0,309982,12525,322507,450.7869375683367,0,328.109375,0.0,328.109375,454.71577302739024,rxnhaystack-human-1.6.0,0.04562033710969881,not_affected,True
full_benchmark,full-glm-5.2-tier2-task2-llm-x500-r04,glm-5.2,GLM 5.2,llm,2,tier2/task2,500,4,6,succeeded,final,2026-09-13T14:12:41.841135+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.04026456814560904,6,0.0,0.0,309982,6602,316584,147.66499749198556,0,327.78125,0.0,327.78125,151.31805692613125,rxnhaystack-human-1.6.0,0.04026456814560904,not_affected,True
full_benchmark,full-glm-5.2-tier2-task2-llm-x500-r05,glm-5.2,GLM 5.2,llm,2,tier2/task2,500,5,6,succeeded,final,2026-09-13T14:17:10.241069+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.06220633097271918,6,0.0,0.0,309982,12604,322586,264.359134208411,0,334.73046875,0.0,334.73046875,268.302872158587,rxnhaystack-human-1.6.0,0.06220633097271918,not_affected,True
full_benchmark,full-glm-5.2-tier2-task2-rlm-x100-r01,glm-5.2,GLM 5.2,rlm,2,tier2/task2,100,1,6,succeeded,final,2026-09-16T18:44:28.347869+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,1.0,22,0.0,0.0,304656,17385,322041,939.5576244592667,113.40075955353677,479.90625,0.0,479.90625,982.8129374850541,rxnhaystack-human-1.6.0,1.0,not_affected,False
full_benchmark,full-glm-5.2-tier2-task2-rlm-x100-r02,glm-5.2,GLM 5.2,rlm,2,tier2/task2,100,2,6,succeeded,final,2026-09-16T18:57:55.332981+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,0.8333333333333334,47,0.0,0.0,1452302,22772,1475074,748.9813948944211,1.021188037469983,366.46484375,0.0,366.46484375,787.0675494708121,rxnhaystack-human-1.6.0,0.8333333333333334,not_affected,False
full_benchmark,full-glm-5.2-tier2-task2-rlm-x100-r03,glm-5.2,GLM 5.2,rlm,2,tier2/task2,100,3,6,succeeded,final,2026-09-16T19:24:51.026645+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,0.8333333333333334,53,0.0,0.0,5797406,24733,5822139,1564.2000913042575,153.31108619086444,368.1015625,0.0,368.1015625,1615.4066057242453,rxnhaystack-human-1.6.0,0.8333333333333334,not_affected,False
full_benchmark,full-glm-5.2-tier2-task2-rlm-x100-r04,glm-5.2,GLM 5.2,rlm,2,tier2/task2,100,4,6,succeeded,final,2026-09-16T19:40:49.107168+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,0.8333333333333334,42,0.0,0.0,810465,14644,825109,893.3867881763726,1.3690830692648888,354.84375,0.0,354.84375,944.881599534303,rxnhaystack-human-1.6.0,0.8333333333333334,not_affected,False
full_benchmark,full-glm-5.2-tier2-task2-rlm-x100-r05,glm-5.2,GLM 5.2,rlm,2,tier2/task2,100,5,6,succeeded,final,2026-09-16T20:05:10.237392+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,0.8333333333333334,25,0.0,0.0,838953,20332,859285,1422.5056277457625,221.283179262653,363.71875,0.0,363.71875,1460.824330592528,rxnhaystack-human-1.6.0,0.8333333333333334,not_affected,False
